season,round,driver,grid_position,best_quali_time,gap_to_pole,made_q3,made_q2
2022,5,MAG,16.0,90.975,2.178999999999988,0,0
2022,5,ZHO,17.0,91.02,2.223999999999989,0,0
2022,5,ALB,18.0,91.266,2.469999999999999,0,0
2022,5,LAT,19.0,91.325,2.5289999999999964,0,0
2022,5,OCO,20.0,,,0,0
2022,6,LEC,1.0,78.75,0.0,1,1
2022,6,VER,2.0,79.073,0.3229999999999933,1,1
2022,6,SAI,3.0,79.166,0.4159999999999968,1,1
2022,6,RUS,4.0,79.393,0.6430000000000007,1,1
2022,6,PER,5.0,79.42,0.6700000000000017,1,1
2022,6,HAM,6.0,79.512,0.7620000000000005,1,1
2022,6,BOT,7.0,79.608,0.8580000000000041,1,1
2022,6,MAG,8.0,79.682,0.9320000000000022,1,1
2022,6,RIC,9.0,80.297,1.546999999999997,1,1
2022,6,MSC,10.0,80.368,1.617999999999995,1,1
2022,6,NOR,11.0,80.471,1.7210000000000036,0,1
2022,6,OCO,12.0,80.638,1.8880000000000048,0,1
2022,6,TSU,13.0,80.639,1.888999999999996,0,1
2022,6,GAS,14.0,80.861,2.111000000000004,0,1
2022,6,ZHO,15.0,81.094,2.343999999999994,0,1
2022,6,VET,16.0,80.954,2.203999999999993,0,0
2022,6,ALO,17.0,81.043,2.2930000000000064,0,0
2022,6,STR,18.0,81.418,2.6680000000000064,0,0
2022,6,ALB,19.0,81.645,2.894999999999996,0,0
2022,6,LAT,20.0,81.915,3.1650000000000063,0,0
2022,7,LEC,1.0,71.376,0.0,1,1
2022,7,SAI,2.0,71.601,0.2249999999999943,1,1
2022,7,PER,3.0,71.629,0.2530000000000001,1,1
2022,7,VER,4.0,71.666,0.289999999999992,1,1
2022,7,NOR,5.0,71.849,0.472999999999999,1,1
2022,7,RUS,6.0,72.112,0.73599999999999,1,1
2022,7,ALO,7.0,72.247,0.8709999999999951,1,1
2022,7,HAM,8.0,72.56,1.1839999999999975,1,1
